RECENT EARTHQUAKES IN TURKEY
KOERI REGIONAL EARTHQUAKE-TSUNAMI MONITORING CENTER
(QUICK EPICENTER DETERMINATIONS)
                                                        Magnitude
Date       Time      Latit(N)  Long(E)   Depth(km)     MD   ML   Mw    Region
2022.04.10 05:22:54  36.9948   28.3750        6.4      -.-  1.9  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.10 05:21:57  37.0520   28.4007       20.5      -.-  1.6  -.-   ATAKOY-ULA (MUGLA)                                Quick
2022.04.10 05:20:03  37.0598   28.4353        6.9      -.-  2.4  -.-   YESILOVA-ULA (MUGLA)                              Quick
2022.04.10 04:25:57  38.0453   29.0283       17.4      -.-  2.1  -.-   ERTUGRUL-GUNEY (DENIZLI)                          Quick
2022.04.10 04:22:10  39.4335   27.8750        4.5      -.-  2.0  -.-   BEREKETLI-(BALIKESIR)                             Quick
2022.04.10 03:52:48  39.4880   27.8425        9.3      -.-  2.3  -.-   TURKALI-(BALIKESIR)                               Quick
2022.04.10 03:49:36  37.0053   28.3842        9.5      -.-  1.1  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.10 03:38:59  37.8092   27.2963        3.3      -.-  2.1  -.-   SOGUCAK-KUSADASI (AYDIN)                          Quick
2022.04.10 03:37:43  37.8487   27.3232        4.9      -.-  2.6  -.-   YENIKOY-KUSADASI (AYDIN)                          Quick
2022.04.10 03:30:55  39.0735   29.5780       25.3      -.-  1.6  -.-   SAMRALAR-GEDIZ (KUTAHYA)                          Quick
2022.04.10 03:28:07  38.3623   23.4905        5.0      -.-  3.8  3.9   YUNANISTAN                                        Quick
2022.04.10 03:07:15  37.1215   28.6013        5.4      -.-  1.6  -.-   ARICILAR-ULA (MUGLA)                              Quick
2022.04.10 03:06:54  37.3590   35.0108        6.6      -.-  1.6  -.-   GILDIRLI-KARAISALI (ADANA)                        Quick
2022.04.10 03:00:55  37.0202   28.3985        9.8      -.-  1.7  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.10 02:45:43  37.0038   28.3645       15.7      -.-  1.2  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.10 02:43:08  38.7048   43.2882        5.0      -.-  3.4  3.5   ATMACA-(VAN)                                      Quick
2022.04.10 02:12:31  38.3397   23.4693       74.2      -.-  4.2  4.3   YUNANISTAN                                        Quick
2022.04.10 02:08:09  38.1090   38.5820        5.0      -.-  3.8  3.9   ARIKONAK-SINCIK (ADIYAMAN)                        Quick
2022.04.10 02:00:49  37.0448   27.7815       11.9      -.-  1.5  -.-   GOKBEL-MILAS (MUGLA)                              Quick
2022.04.10 01:51:06  38.3592   28.4208        8.8      -.-  2.2  -.-   SOGUKYURT-ALASEHIR (MANISA)                       Quick
2022.04.10 00:38:32  36.9698   27.6392       14.1      -.-  1.6  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.10 00:37:28  36.9580   27.6257        7.2      -.-  1.7  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.10 00:32:30  36.9712   27.6427       10.0      -.-  1.9  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.10 00:11:27  37.0142   28.4132       15.1      -.-  1.5  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.09 23:37:29  38.1873   38.6573        1.1      -.-  1.7  -.-   ARITOPRAK-PUTURGE (MALATYA)                       Quick
2022.04.09 23:26:34  38.1772   38.6695        5.0      -.-  2.2  -.-   ARITOPRAK-PUTURGE (MALATYA)                       Quick
2022.04.09 22:15:39  40.4492   30.6757        9.3      -.-  1.2  -.-   KASIKCISEYHLER-GOYNUK (BOLU)                      Quick
2022.04.09 22:11:12  36.9882   27.6400        7.4      -.-  1.5  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 21:54:50  38.1587   38.6335        5.3      -.-  1.4  -.-   BASMEZRA-PUTURGE (MALATYA)                        Quick
2022.04.09 21:48:38  38.1220   38.5965        5.0      -.-  1.9  -.-   TEKEDERESI-PUTURGE (MALATYA)                      Quick
2022.04.09 21:32:49  39.0090   27.9425       11.9      -.-  1.9  -.-   KARAKOY-AKHISAR (MANISA)                          Quick
2022.04.09 20:58:35  37.0832   28.4323        8.9      -.-  2.0  -.-   YESILOVA-ULA (MUGLA)                              Quick
2022.04.09 20:31:04  38.1672   38.6253        5.0      -.-  2.4  -.-   BASMEZRA-PUTURGE (MALATYA)                        Quick
2022.04.09 20:11:10  38.1657   38.6153        5.0      -.-  2.2  -.-   BASMEZRA-PUTURGE (MALATYA)                        Quick
2022.04.09 20:08:02  38.1592   38.6087        5.0      -.-  2.8  -.-   TEKEDERESI-PUTURGE (MALATYA)                      Quick
2022.04.09 20:05:59  38.1482   38.5982        5.0      -.-  2.8  -.-   TEKEDERESI-PUTURGE (MALATYA)                      Quick
2022.04.09 19:34:47  38.1312   38.6470        5.0      -.-  2.2  -.-   UCYAKA-PUTURGE (MALATYA)                          Quick
2022.04.09 19:33:53  38.2017   38.6545        5.0      -.-  2.4  -.-   SOGUTLU-PUTURGE (MALATYA)                         Quick
2022.04.09 18:56:15  38.1653   38.6727        5.0      -.-  1.8  -.-   ESENLIK-PUTURGE (MALATYA)                         Quick
2022.04.09 18:29:15  38.1648   38.6177        5.0      -.-  2.5  -.-   BASMEZRA-PUTURGE (MALATYA)                        Quick
2022.04.09 17:30:22  38.1503   38.6488        5.0      -.-  1.9  -.-   BASMEZRA-PUTURGE (MALATYA)                        Quick
2022.04.09 16:58:44  37.0075   28.4305        5.0      -.-  1.7  -.-   YESILCAM-ULA (MUGLA)                              Quick
2022.04.09 16:26:49  38.1445   38.6293        1.2      -.-  1.9  -.-   TEKEDERESI-PUTURGE (MALATYA)                      Quick
2022.04.09 16:24:09  36.9805   27.5120       11.2      -.-  2.4  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 16:10:32  38.1320   38.6240        5.0      -.-  2.3  -.-   TEKEDERESI-PUTURGE (MALATYA)                      Quick
2022.04.09 15:59:00  38.1517   38.6608        5.0      -.-  1.9  -.-   BASMEZRA-PUTURGE (MALATYA)                        Quick
2022.04.09 15:49:20  38.1738   38.6697        5.0      -.-  2.4  -.-   ESENLIK-PUTURGE (MALATYA)                         Quick
2022.04.09 15:39:00  38.1057   38.7260        5.0      -.-  3.4  -.-   ALICERI-PUTURGE (MALATYA)                         Quick
2022.04.09 15:37:46  38.1317   38.6450        5.5      -.-  3.7  -.-   UCYAKA-PUTURGE (MALATYA)                          Quick
2022.04.09 15:37:06  38.1355   38.6355        5.0      -.-  3.9  -.-   UCYAKA-PUTURGE (MALATYA)                          REVISE01   (2022.04.09 15:37:07)
2022.04.09 15:15:34  38.1253   38.6297        5.0      -.-  2.0  -.-   TEKEDERESI-PUTURGE (MALATYA)                      Quick
2022.04.09 15:04:40  36.9885   28.3400       10.4      -.-  2.0  -.-   CETIBELI-MARMARIS (MUGLA)                         Quick
2022.04.09 14:22:10  38.1373   38.6330        5.3      -.-  2.8  -.-   TEKEDERESI-PUTURGE (MALATYA)                      Quick
2022.04.09 14:02:13  38.1503   38.6062        5.0      -.-  5.1  5.2   TEKEDERESI-PUTURGE (MALATYA)                      Quick
2022.04.09 13:42:56  34.8570   32.5372       11.7      -.-  2.1  -.-   KIBRIS RUM KESIMI                                 Quick
2022.04.09 12:36:07  40.3908   27.9762       14.5      -.-  1.4  -.-   BANDIRMA KORFEZI (MARMARA SEA)                    Quick
2022.04.09 11:10:23  37.2780   37.4240        3.0      -.-  1.4  -.-   YAYIKTAS-SEHITKAMIL (GAZIANTEP)                   Quick
2022.04.09 11:06:43  36.2070   33.7145        0.0      -.-  1.1  -.-   ISIKLI-SILIFKE (MERSIN)                           Quick
2022.04.09 11:02:18  36.9848   28.7420        5.0      -.-  1.6  -.-   ZEYTINALANI-KOYCEGIZ (MUGLA)                      Quick
2022.04.09 10:57:35  35.8430   28.1938        5.6      -.-  2.3  -.-   MEDITERRANEAN SEA                                 Quick
2022.04.09 10:37:42  40.6183   30.2572        0.0      -.-  1.2  -.-   IKRAMIYE-SAPANCA (SAKARYA)                        Quick
2022.04.09 10:21:16  37.0668   28.4812       10.1      -.-  1.8  -.-   PORTAKALLIK-ULA (MUGLA)                           Quick
2022.04.09 09:51:25  37.5837   29.1763        0.0      -.-  1.4  -.-   SARIABAT-TAVAS (DENIZLI)                          Quick
2022.04.09 09:17:28  37.6072   29.2125        0.0      -.-  1.1  -.-   SARIABAT-TAVAS (DENIZLI)                          Quick
2022.04.09 09:10:52  36.9980   28.3875        9.5      -.-  1.5  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.09 08:36:36  36.9760   27.6712        1.2      -.-  2.4  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 08:33:00  40.5178   29.2433        0.0      -.-  1.2  -.-   HAMZALI-ORHANGAZI (BURSA)                         Quick
2022.04.09 08:22:15  36.2612   26.9918        6.1      -.-  2.5  -.-   MEDITERRANEAN SEA                                 Quick
2022.04.09 08:21:16  39.5980   29.4033        0.0      -.-  1.3  -.-   KOPRUCEK-TAVSANLI (KUTAHYA)                       Quick
2022.04.09 08:17:36  37.0173   28.4223        5.4      -.-  1.6  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.09 07:51:41  36.9092   28.0705        3.1      -.-  1.5  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 07:50:21  36.8763   28.0483       12.0      -.-  1.3  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 07:44:34  36.8100   28.0610        8.3      -.-  1.9  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 07:42:39  36.8948   28.0475        6.0      -.-  2.4  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 07:31:15  37.0030   28.3218       12.1      -.-  1.1  -.-   CETIBELI-MARMARIS (MUGLA)                         Quick
2022.04.09 07:20:19  36.9848   28.3833        1.0      -.-  1.6  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.09 07:10:03  40.7848   27.5528       12.5      -.-  1.8  -.-   YENIKOY ACIKLARI-TEKIRDAG (MARMARA SEA)           Quick
2022.04.09 06:49:32  36.3225   27.6487       86.5      -.-  2.3  -.-   MEDITERRANEAN SEA                                 Quick
2022.04.09 06:40:47  36.9940   28.3890       15.2      -.-  1.7  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.09 06:11:44  37.0252   28.4093        7.0      -.-  2.5  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.09 05:57:55  37.0283   28.4290       11.8      -.-  2.4  -.-   CITLIK-ULA (MUGLA)                                Quick
2022.04.09 05:52:08  39.3875   32.6820        6.3      -.-  1.5  -.-   CALIS-HAYMANA (ANKARA)                            Quick
2022.04.09 05:09:11  37.0532   28.4143        6.8      -.-  2.2  -.-   ATAKOY-ULA (MUGLA)                                Quick
2022.04.09 04:34:54  37.0070   27.5718        1.0      -.-  1.5  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 04:03:37  36.9383   27.6212        5.1      -.-  1.4  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 03:42:48  37.1967   36.1465        1.4      -.-  1.8  -.-   KIRMACILI-(OSMANIYE)                              Quick
2022.04.09 02:37:38  36.9645   27.3813        6.6      -.-  1.8  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 02:30:11  42.5600   43.2735        4.0      -.-  3.7  3.8   GURCISTAN                                         Quick
2022.04.09 01:37:59  36.9777   27.6442        3.1      -.-  2.0  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 01:26:28  36.9613   27.7245        5.0      -.-  1.1  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 01:21:03  36.9855   27.6768        7.5      -.-  1.8  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.09 01:20:42  37.0183   28.3800       13.1      -.-  1.3  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.09 00:51:21  37.3547   35.0668       10.3      -.-  1.1  -.-   GILDIRLI-KARAISALI (ADANA)                        Quick
2022.04.08 23:40:05  36.9575   27.6548        7.9      -.-  1.7  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.08 23:08:47  37.6640   26.9802        5.5      -.-  1.7  -.-   MILLI PARK-KUSADASI (AYDIN)                       Quick
2022.04.08 22:09:11  36.9358   27.6542        5.0      -.-  2.2  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.08 22:06:39  36.0738   32.0040       89.2      -.-  3.1  3.3   ANTALYA KORFEZI (MEDITERRANEAN SEA)               Quick
2022.04.08 22:00:26  40.5720   27.6190        5.0      -.-  1.5  -.-   GUNDOGDU-MARMARA (BALIKESIR)                      Quick
2022.04.08 21:50:59  37.9997   26.2357        3.7      -.-  1.6  -.-   AEGEAN SEA                                        Quick
2022.04.08 21:36:42  37.1422   28.5738        6.2      -.-  2.3  -.-   YAYLASOGUT-ULA (MUGLA)                            Quick
2022.04.08 21:01:52  37.0788   28.3887        6.9      -.-  1.6  -.-   KIZILAGAC-ULA (MUGLA)                             Quick
2022.04.08 20:57:04  37.0372   28.3793        9.7      -.-  2.3  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.08 20:14:45  35.0558   26.7330        5.0      -.-  2.6  -.-   GIRIT ADASI ACIKLARI (MEDITERRANEAN SEA)          Quick
2022.04.08 20:11:38  35.0698   25.1848        6.1      -.-  3.1  -.-   GIRIT ADASI (MEDITERRANEAN SEA)                   Quick
2022.04.08 20:07:23  37.0163   28.3907        4.2      -.-  1.3  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.08 19:55:13  37.9213   27.1125        7.2      -.-  1.5  -.-   KUSADASI KORFEZI (AEGEAN SEA)                     Quick
2022.04.08 19:52:38  37.0062   28.3662       11.3      -.-  1.5  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.08 19:45:10  37.0138   28.3697       12.6      -.-  1.5  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.08 19:44:24  37.0093   28.3647       11.1      -.-  1.2  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.08 19:39:14  36.2500   27.0677        5.0      -.-  1.7  -.-   MEDITERRANEAN SEA                                 Quick
2022.04.08 19:30:12  37.0025   28.3677        3.6      -.-  1.0  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.08 19:16:49  36.9798   27.6527       11.3      -.-  1.4  -.-   GOKOVA KORFEZI (MEDITERRANEAN SEA)                Quick
2022.04.08 19:04:33  37.0027   28.3892        2.7      -.-  1.4  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.08 18:56:51  37.0148   28.3585       11.8      -.-  1.0  -.-   GOKCE-ULA (MUGLA)                                 Quick
2022.04.08 18:51:39  34.9343   24.1438       20.0      -.-  3.2  3.0   GIRIT ADASI (MEDITERRANEAN SEA)                   Quick
2022.04.08 18:48:12  40.0620   28.6557       15.8      -.-  1.5  -.-   KOREKEM-MUSTAFAKEMALPASA (BURSA)                  Quick
2022.04.08 18:31:24  38.3647   29.8948       14.5      -.-  1.2  -.-   OSMANKOY-CIVRIL (DENIZLI)                         Quick
2022.04.08 18:26:06  39.4857   32.3343        0.0      -.-  1.6  -.-   KARAYAVSAN-POLATLI (ANKARA)                       Quick
2022.04.08 18:22:43  38.8950   43.4845       11.8      -.-  1.9  -.-   ERMISLER-(VAN)                                    Quick
2022.04.08 18:16:58  38.8875   43.5063       12.6      -.-  2.3  -.-   ERMISLER-(VAN)                                    Quick
2022.04.08 17:58:21  36.9947   28.3987       11.7      -.-  1.6  -.-   YESILCAM-ULA (MUGLA)                              Quick
2022.04.08 17:57:01  37.0120   28.3910        6.8      -.-  1.8  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.08 17:07:00  37.0140   28.3780        7.9      -.-  2.1  -.-   SIRINKOY-ULA (MUGLA)                              Quick
2022.04.08 17:04:37  37.0105   28.3720        7.5      -.-  1.9  -.-   SIRINKOY-ULA (MUGLA)                              Quick
